$T	$D	$I X3	$I X2	$I X1	$I X0	$I Y3	$I Y2	$I Y1	$I Y0	$I C3	$I C2	$I C1	$I C0
0	100	0	0	0	0	0	0	0	0	0	0	0	0
100	100	0	0	0	0	0	0	0	1	1	1	1	1
200	100	0	0	0	0	0	0	1	0	1	1	1	0
300	100	0	0	0	0	0	0	1	1	1	1	0	1
400	100	0	0	0	0	0	1	0	0	1	1	0	0
500	100	0	0	0	0	0	1	0	1	1	0	1	1
600	100	0	0	0	0	0	1	1	0	1	0	1	0
700	100	0	0	0	0	0	1	1	1	1	0	0	1
800	100	0	0	0	0	1	0	0	0	1	0	0	0
900	100	0	0	0	0	1	0	0	1	0	1	1	1
1000	100	0	0	0	0	1	0	1	0	0	1	1	0
1100	100	0	0	0	0	1	0	1	1	0	1	0	1
1200	100	0	0	0	0	1	1	0	0	0	1	0	0
1300	100	0	0	0	0	1	1	0	1	0	0	1	1
1400	100	0	0	0	0	1	1	1	0	0	0	1	0
1500	100	0	0	0	0	1	1	1	1	0	0	0	1
1600	100	0	0	0	1	0	0	0	0	0	0	0	1
1700	100	0	0	0	1	0	0	0	1	0	0	0	0
1800	100	0	0	0	1	0	0	1	0	1	1	1	1
1900	100	0	0	0	1	0	0	1	1	1	1	1	0
2000	100	0	0	0	1	0	1	0	0	1	1	0	1
2100	100	0	0	0	1	0	1	0	1	1	1	0	0
2200	100	0	0	0	1	0	1	1	0	1	0	1	1
2300	100	0	0	0	1	0	1	1	1	1	0	1	0
2400	100	0	0	0	1	1	0	0	0	1	0	0	1
2500	100	0	0	0	1	1	0	0	1	1	0	0	0
2600	100	0	0	0	1	1	0	1	0	0	1	1	1
2700	100	0	0	0	1	1	0	1	1	0	1	1	0
2800	100	0	0	0	1	1	1	0	0	0	1	0	1
2900	100	0	0	0	1	1	1	0	1	0	1	0	0
3000	100	0	0	0	1	1	1	1	0	0	0	1	1
3100	100	0	0	0	1	1	1	1	1	0	0	1	0
3200	100	0	0	1	0	0	0	0	0	0	0	1	0
3300	100	0	0	1	0	0	0	0	1	0	0	0	1
3400	100	0	0	1	0	0	0	1	0	0	0	0	0
3500	100	0	0	1	0	0	0	1	1	1	1	1	1
3600	100	0	0	1	0	0	1	0	0	1	1	1	0
3700	100	0	0	1	0	0	1	0	1	1	1	0	1
3800	100	0	0	1	0	0	1	1	0	1	1	0	0
3900	100	0	0	1	0	0	1	1	1	1	0	1	1
4000	100	0	0	1	0	1	0	0	0	1	0	1	0
4100	100	0	0	1	0	1	0	0	1	1	0	0	1
4200	100	0	0	1	0	1	0	1	0	1	0	0	0
4300	100	0	0	1	0	1	0	1	1	0	1	1	1
4400	100	0	0	1	0	1	1	0	0	0	1	1	0
4500	100	0	0	1	0	1	1	0	1	0	1	0	1
4600	100	0	0	1	0	1	1	1	0	0	1	0	0
4700	100	0	0	1	0	1	1	1	1	0	0	1	1
4800	100	0	0	1	1	0	0	0	0	0	0	1	1
4900	100	0	0	1	1	0	0	0	1	0	0	1	0
5000	100	0	0	1	1	0	0	1	0	0	0	0	1
5100	100	0	0	1	1	0	0	1	1	0	0	0	0
5200	100	0	0	1	1	0	1	0	0	1	1	1	1
5300	100	0	0	1	1	0	1	0	1	1	1	1	0
5400	100	0	0	1	1	0	1	1	0	1	1	0	1
5500	100	0	0	1	1	0	1	1	1	1	1	0	0
5600	100	0	0	1	1	1	0	0	0	1	0	1	1
5700	100	0	0	1	1	1	0	0	1	1	0	1	0
5800	100	0	0	1	1	1	0	1	0	1	0	0	1
5900	100	0	0	1	1	1	0	1	1	1	0	0	0
6000	100	0	0	1	1	1	1	0	0	0	1	1	1
6100	100	0	0	1	1	1	1	0	1	0	1	1	0
6200	100	0	0	1	1	1	1	1	0	0	1	0	1
6300	100	0	0	1	1	1	1	1	1	0	1	0	0
6400	100	0	1	0	0	0	0	0	0	0	1	0	0
6500	100	0	1	0	0	0	0	0	1	0	0	1	1
6600	100	0	1	0	0	0	0	1	0	0	0	1	0
6700	100	0	1	0	0	0	0	1	1	0	0	0	1
6800	100	0	1	0	0	0	1	0	0	0	0	0	0
6900	100	0	1	0	0	0	1	0	1	1	1	1	1
7000	100	0	1	0	0	0	1	1	0	1	1	1	0
7100	100	0	1	0	0	0	1	1	1	1	1	0	1
7200	100	0	1	0	0	1	0	0	0	1	1	0	0
7300	100	0	1	0	0	1	0	0	1	1	0	1	1
7400	100	0	1	0	0	1	0	1	0	1	0	1	0
7500	100	0	1	0	0	1	0	1	1	1	0	0	1
7600	100	0	1	0	0	1	1	0	0	1	0	0	0
7700	100	0	1	0	0	1	1	0	1	0	1	1	1
7800	100	0	1	0	0	1	1	1	0	0	1	1	0
7900	100	0	1	0	0	1	1	1	1	0	1	0	1
8000	100	0	1	0	1	0	0	0	0	0	1	0	1
8100	100	0	1	0	1	0	0	0	1	0	1	0	0
8200	100	0	1	0	1	0	0	1	0	0	0	1	1
8300	100	0	1	0	1	0	0	1	1	0	0	1	0
8400	100	0	1	0	1	0	1	0	0	0	0	0	1
8500	100	0	1	0	1	0	1	0	1	0	0	0	0
8600	100	0	1	0	1	0	1	1	0	1	1	1	1
8700	100	0	1	0	1	0	1	1	1	1	1	1	0
8800	100	0	1	0	1	1	0	0	0	1	1	0	1
8900	100	0	1	0	1	1	0	0	1	1	1	0	0
9000	100	0	1	0	1	1	0	1	0	1	0	1	1
9100	100	0	1	0	1	1	0	1	1	1	0	1	0
9200	100	0	1	0	1	1	1	0	0	1	0	0	1
9300	100	0	1	0	1	1	1	0	1	1	0	0	0
9400	100	0	1	0	1	1	1	1	0	0	1	1	1
9500	100	0	1	0	1	1	1	1	1	0	1	1	0
9600	100	0	1	1	0	0	0	0	0	0	1	1	0
9700	100	0	1	1	0	0	0	0	1	0	1	0	1
9800	100	0	1	1	0	0	0	1	0	0	1	0	0
9900	100	0	1	1	0	0	0	1	1	0	0	1	1
10000	100	0	1	1	0	0	1	0	0	0	0	1	0
10100	100	0	1	1	0	0	1	0	1	0	0	0	1
10200	100	0	1	1	0	0	1	1	0	0	0	0	0
10300	100	0	1	1	0	0	1	1	1	1	1	1	1
