$T	$D	$I Clk	$I R'	$I S1	$I S0	$I RSI	$I LSI	$I A	$I B	$I C	$I D	$I E
0	100	0	1	1	1	0	0	0	0	0	0	0
100	100	1	0	0	0	0	0	0	0	0	0	0
200	100	0	1	0	0	0	0	0	0	0	0	0
300	100	1	1	0	0	0	0	0	0	0	0	0
400	100	0	1	0	0	0	0	0	0	0	0	0
500	100	1	1	0	0	0	0	0	0	0	0	0
600	100	0	1	0	0	0	0	0	0	0	0	0
700	100	1	1	0	0	0	0	0	0	0	0	1
800	100	0	1	0	0	0	0	0	0	0	0	1
900	100	1	1	0	0	0	0	0	0	0	0	1
1000	100	0	1	0	0	0	0	0	0	0	0	1
1100	100	1	1	0	0	0	0	0	0	0	1	0
1200	100	0	1	0	0	0	0	0	0	0	1	0
1300	100	1	1	0	0	0	0	0	0	0	1	0
1400	100	0	1	0	0	0	0	0	0	0	1	0
1500	100	1	1	0	0	0	0	0	0	0	1	1
1600	100	0	1	0	0	0	0	0	0	0	1	1
1700	100	1	1	0	0	0	0	0	0	0	1	1
1800	100	0	1	0	0	0	0	0	0	0	1	1
1900	100	1	1	0	0	0	0	0	0	1	0	0
2000	100	0	1	0	0	0	0	0	0	1	0	0
2100	100	1	1	0	0	0	0	0	0	1	0	0
2200	100	0	1	0	0	0	0	0	0	1	0	0
2300	100	1	1	0	0	0	0	0	0	1	0	1
2400	100	0	1	0	0	0	0	0	0	1	0	1
2500	100	1	1	0	0	0	0	0	0	1	0	1
2600	100	0	1	0	0	0	0	0	0	1	0	1
2700	100	1	1	0	0	0	0	0	0	1	1	0
2800	100	0	1	0	0	0	0	0	0	1	1	0
2900	100	1	1	0	0	0	0	0	0	1	1	0
3000	100	0	1	0	0	0	0	0	0	1	1	0
3100	100	1	1	0	0	0	0	0	0	1	1	1
3200	100	0	1	0	0	0	0	0	0	1	1	1
3300	100	1	1	0	0	0	0	0	0	1	1	1
3400	100	0	1	0	0	0	0	0	0	1	1	1
3500	100	1	1	0	0	0	0	0	1	0	0	0
3600	100	0	1	0	0	0	0	0	1	0	0	0
3700	100	1	1	0	0	0	0	0	1	0	0	0
3800	100	0	1	0	0	0	0	0	1	0	0	0
3900	100	1	1	1	1	0	0	0	1	0	0	1
4000	100	0	1	0	0	0	0	0	1	0	0	1
4100	100	1	1	0	0	0	0	0	1	0	0	1
4200	100	0	1	0	0	0	0	0	1	0	0	1
4300	100	1	1	0	0	0	0	0	1	0	1	0
4400	100	0	1	0	0	0	0	0	1	0	1	0
4500	100	1	1	0	0	0	0	0	1	0	1	0
4600	100	0	1	0	0	0	0	0	1	0	1	0
4700	100	1	1	0	0	0	0	0	1	0	1	1
4800	100	0	1	0	0	0	0	0	1	0	1	1
4900	100	1	1	0	0	0	0	0	1	0	1	1
5000	100	0	1	0	0	0	0	0	1	0	1	1
5100	100	1	1	0	0	0	0	0	1	1	0	0
5200	100	0	1	0	0	0	0	0	1	1	0	0
5300	100	1	1	0	0	0	0	0	1	1	0	0
5400	100	0	1	0	0	0	0	0	1	1	0	0
5500	100	1	1	0	0	0	0	0	1	1	0	1
5600	100	0	1	0	0	0	0	0	1	1	0	1
5700	100	1	1	0	0	0	0	0	1	1	0	1
5800	100	0	1	0	0	0	0	0	1	1	0	1
5900	100	1	1	0	0	0	0	0	1	1	1	0
6000	100	0	1	0	0	0	0	0	1	1	1	0
6100	100	1	1	0	0	0	0	0	1	1	1	0
6200	100	0	1	0	0	0	0	0	1	1	1	0
6300	100	1	1	1	1	0	0	0	1	1	1	1
6400	100	0	1	0	0	0	0	0	1	1	1	1
6500	100	1	1	0	0	0	0	0	1	1	1	1
6600	100	0	1	0	0	0	0	0	1	1	1	1
6700	100	1	1	0	0	0	0	1	0	0	0	0
6800	100	0	1	0	0	0	0	1	0	0	0	0
6900	100	1	1	0	0	0	0	1	0	0	0	0
7000	100	0	1	0	0	0	0	1	0	0	0	0
7100	100	1	1	0	0	0	0	1	0	0	0	1
7200	100	0	1	0	0	0	0	1	0	0	0	1
7300	100	1	1	0	0	0	0	1	0	0	0	1
7400	100	0	1	0	0	0	0	1	0	0	0	1
7500	100	1	1	0	0	0	0	1	0	0	1	0
7600	100	0	1	0	0	0	0	1	0	0	1	0
7700	100	1	1	0	0	0	0	1	0	0	1	0
7800	100	0	1	0	0	0	0	1	0	0	1	0
7900	100	1	1	0	0	0	0	1	0	0	1	1
8000	100	0	1	0	0	0	0	1	0	0	1	1
8100	100	1	1	0	0	0	0	1	0	0	1	1
8200	100	0	1	0	0	0	0	1	0	0	1	1
8300	100	1	1	0	0	0	0	1	0	1	0	0
8400	100	0	1	0	0	0	0	1	0	1	0	0
8500	100	1	1	0	0	0	0	1	0	1	0	0
8600	100	0	1	0	0	0	0	1	0	1	0	0
8700	100	1	1	0	0	0	0	1	0	1	0	1
8800	100	0	1	0	0	0	0	1	0	1	0	1
8900	100	1	1	0	0	0	0	1	0	1	0	1
9000	100	0	1	0	0	0	0	1	0	1	0	1
9100	100	1	1	0	0	0	0	1	0	1	1	0
9200	100	0	1	0	0	0	0	1	0	1	1	0
9300	100	1	1	0	0	0	0	1	0	1	1	0
9400	100	0	1	0	0	0	0	1	0	1	1	0
9500	100	1	1	0	0	0	0	1	0	1	1	1
9600	100	0	1	0	0	0	0	1	0	1	1	1
9700	100	1	1	0	0	0	0	1	0	1	1	1
9800	100	0	1	0	0	0	0	1	0	1	1	1
9900	100	1	1	1	1	0	0	1	1	0	0	0
10000	100	0	1	0	0	0	0	1	1	0	0	0
10100	100	1	1	0	0	0	0	1	1	0	0	0
10200	100	0	1	0	0	0	0	1	1	0	0	0
10300	100	1	1	0	0	0	0	1	1	0	0	1
10400	100	0	1	0	0	0	0	1	1	0	0	1
10500	100	1	1	0	0	0	0	1	1	0	0	1
10600	100	0	1	0	0	0	0	1	1	0	0	1
10700	100	1	1	0	0	0	0	1	1	0	1	0
10800	100	0	1	0	0	0	0	1	1	0	1	0
10900	100	1	1	0	0	0	0	1	1	0	1	0
11000	100	0	1	0	0	0	0	1	1	0	1	0
11100	100	1	1	0	0	0	0	1	1	0	1	1
11200	100	0	1	0	0	0	0	1	1	0	1	1
11300	100	1	1	0	0	0	0	1	1	0	1	1
11400	100	0	1	0	0	0	0	1	1	0	1	1
11500	100	1	1	0	0	0	0	1	1	1	0	0
11600	100	0	1	0	0	0	0	1	1	1	0	0
11700	100	1	1	0	0	0	0	1	1	1	0	0
11800	100	0	1	0	0	0	0	1	1	1	0	0
11900	100	1	1	0	0	0	0	1	1	1	0	1
12000	100	0	1	0	0	0	0	1	1	1	0	1
12100	100	1	1	0	0	0	0	1	1	1	0	1
12200	100	0	1	0	0	0	0	1	1	1	0	1
12300	100	1	1	1	1	0	0	1	1	1	1	0
12400	100	0	1	0	0	0	0	1	1	1	1	0
12500	100	1	1	0	0	0	0	1	1	1	1	0
12600	100	0	1	0	0	0	0	1	1	1	1	0
12700	100	1	1	0	0	0	0	1	1	1	1	1
12800	100	0	1	0	0	0	0	1	1	1	1	1
12900	100	1	1	0	0	0	0	1	1	1	1	1
13000	100	0	1	0	0	0	0	1	1	1	1	1
