$T	$D	$I R'	$I Clk	$I S1	$I S0	$I RSI	$I LSI	$I A	$I B	$I C	$I D	$I E
0	100	0	0	1	1	0	0	0	0	0	0	0
100	100	1	1	1	1	0	0	0	0	0	0	0
200	100	1	0	1	1	0	0	0	0	0	0	0
300	100	1	1	1	1	0	0	0	0	0	0	0
400	100	1	0	1	1	0	0	0	0	0	0	1
500	100	1	1	1	1	0	0	0	0	0	1	0
600	100	1	0	1	1	0	0	0	0	0	1	1
700	100	1	1	1	1	0	0	0	0	1	0	0
800	100	1	0	1	1	0	0	0	0	1	0	1
900	100	1	1	1	1	0	0	0	0	1	1	0
1000	100	1	0	1	1	0	0	0	0	1	1	1
1100	100	1	1	1	1	0	0	0	1	0	0	0
1200	100	1	0	1	1	0	0	0	1	0	0	1
1300	100	1	1	1	1	0	0	0	1	0	1	0
1400	100	1	0	1	1	0	0	0	1	0	1	1
1500	100	1	1	1	1	0	0	0	1	1	0	0
1600	100	1	0	1	1	0	0	0	1	1	0	1
1700	100	1	1	1	1	0	0	0	1	1	1	0
1800	100	1	0	1	1	0	0	0	1	1	1	1
1900	100	1	1	1	1	0	0	1	0	0	0	0
2000	100	1	0	1	1	0	0	1	0	0	0	1
2100	100	1	1	1	1	0	0	1	0	0	1	0
2200	100	1	0	1	1	0	0	1	0	0	1	1
2300	100	1	1	1	1	0	0	1	0	1	0	0
2400	100	1	0	1	1	0	0	1	0	1	0	1
2500	100	1	1	1	1	0	0	1	0	1	1	0
2600	100	1	0	1	1	0	0	1	0	1	1	1
2700	100	1	1	1	1	0	0	1	1	0	0	0
2800	100	1	0	1	1	0	0	1	1	0	0	1
2900	100	1	1	1	1	0	0	1	1	0	1	0
3000	100	1	0	1	1	0	0	1	1	0	1	1
3100	100	1	1	1	1	0	0	1	1	1	0	0
3200	100	1	0	1	1	0	0	1	1	1	0	1
3300	100	1	1	1	1	0	0	1	1	1	1	0
3400	100	1	0	1	1	0	0	1	1	1	1	1
3500	100	1	1	1	1	0	0	1	1	1	1	1
3600	100	1	0	1	1	0	0	1	1	1	1	1
3700	100	1	1	1	1	0	0	1	1	1	1	1
