$T	$D	$I R'	$I Pr'	$I W	$I Clk
0	100	0	1	0	0
100	100	1	1	0	1
200	100	1	1	0	0
300	100	1	1	0	1
400	100	1	1	0	0
500	100	1	1	1	1
600	100	1	1	1	0
700	100	1	1	1	1
800	100	1	1	1	0
900	100	1	1	1	1
1000	100	1	1	0	0
1100	100	1	1	0	1
1200	100	1	1	0	0
1300	100	1	1	0	1
1400	100	1	1	0	0
1500	100	1	1	1	1
1600	100	1	1	0	0
1700	100	1	1	1	1
1800	100	1	1	0	0
1900	100	1	1	1	1
2000	100	1	1	0	0
2100	100	1	1	0	1
2200	100	1	1	0	0
2300	100	1	1	0	1
2400	100	1	1	0	0
2500	100	1	0	1	1
2600	100	1	1	1	0
2700	100	1	1	1	1
2800	100	1	1	1	0
2900	100	1	1	1	1
3000	100	1	1	0	0
3100	100	1	1	0	1
3200	100	1	1	0	0
3300	100	1	1	0	1
3400	100	1	1	0	0
3500	100	1	1	1	1
3600	100	1	1	1	0
3700	100	1	1	1	1
3800	100	1	1	1	0
3900	100	1	1	1	1
